RR,DET,DNRLINES,MDL,ADL,DENTR,LAM,AVL,MVL,VNRLINES,VENTR,radius,sample_id,method,system,coupling,RR_target
0.504,100,48,87,26.25,2.8674404991244455,46.98412698412698,2.006779661016949,3,295,0.04061308921059742,0.04299404742184606,397,MvJRQA,2,0.36,0.5
0.0944,100,10,30,23.6,1.6094379124341005,0,0,0,0,0,NA,397,MvJRQA,j,0.36,0.5
0.0056,100,2,7,7,-0,0,0,0,0,0,0.09,397,MdRQA,f,0.36,NA
0.0056,100,2,7,7,-0,0,NA,NA,NA,NA,0.09,397,MdRQA_crqa,f,0.36,NA
0.5,99.83999999999999,44,137,28.363636363636363,3.0280290733074118,37.12,2.158139534883721,3,215,0.43657188628550486,0.15994949872924255,398,MvJRQA,1,0.38,0.5
0.4968,100,54,57,23,2.885082981228065,42.19001610305958,2.007662835249042,3,261,0.04496193091924444,0.04323617325679543,398,MvJRQA,2,0.38,0.5
0.10239999999999999,99.21875,12,30,21.166666666666668,1.791759469228055,0,0,0,0,0,NA,398,MvJRQA,j,0.38,0.5
0.0056,100,2,7,7,-0,0,0,0,0,0,0.09,398,MdRQA,f,0.38,NA
0.0056,100,2,7,7,-0,0,NA,NA,NA,NA,0.09,398,MdRQA_crqa,f,0.38,NA
0.5,99.83999999999999,44,137,28.363636363636363,3.0280290733074118,37.12,2.158139534883721,3,215,0.43657188628550486,0.15994949872924255,399,MvJRQA,1,0.4,0.5
0.4968,100,58,58,21.413793103448278,3.062433267555995,44.20289855072464,2.010989010989011,3,273,0.06049829410230214,0.04336591134450118,399,MvJRQA,2,0.4,0.5
0.1104,99.27536231884058,12,31,22.833333333333332,1.791759469228055,0,0,0,0,0,NA,399,MvJRQA,j,0.4,0.5
0.0056,100,2,7,7,-0,0,0,0,0,0,0.09,399,MdRQA,f,0.4,NA
0.0056,100,2,7,7,-0,0,NA,NA,NA,NA,0.09,399,MdRQA_crqa,f,0.4,NA
0.4992,100,42,67,29.714285714285715,2.780466368938682,64.1826923076923,2.25,4,356,0.5955295583516607,0.1274042149596407,400,MvJRQA,1,0,0.5
0.5015999999999999,100,12,301,104.5,1.5607104090414063,71.1323763955343,2,2,446,-0,0.031080096774230157,400,MvJRQA,2,0,0.5
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,400,MvJRQA,j,0,0.5
0.1592,100,14,53,28.428571428571427,1.7478680974667573,0,0,0,0,0,0.09,400,MdRQA,f,0,NA
0.1592,100,14,53,28.428571428571427,1.7478680974667573,0,NA,NA,NA,NA,0.09,400,MdRQA_crqa,f,0,NA
0.4992,100,42,67,29.714285714285715,2.780466368938682,64.1826923076923,2.25,4,356,0.5955295583516607,0.1274042149596407,401,MvJRQA,1,0.02,0.5
0.5015999999999999,100,34,95,36.88235294117647,2.6701198898068172,62.51993620414673,2,2,392,-0,0.04405087746918488,401,MvJRQA,2,0.02,0.5
0.0416,100,4,27,26,0.6931471805599453,0,0,0,0,0,NA,401,MvJRQA,j,0.02,0.5
0.1592,100,14,53,28.428571428571427,1.7478680974667573,0,0,0,0,0,0.09,401,MdRQA,f,0.02,NA
0.1592,100,14,53,28.428571428571427,1.7478680974667573,0,NA,NA,NA,NA,0.09,401,MdRQA_crqa,f,0.02,NA
0.4992,100,42,67,29.714285714285715,2.780466368938682,64.1826923076923,2.25,4,356,0.5955295583516607,0.1274042149596407,402,MvJRQA,1,0.04,0.5
0.49119999999999997,100,36,142,34.111111111111114,2.6593226977095163,41.612377850162865,2.0118110236220472,3,254,0.06416684738041811,0.045688562351523715,402,MvJRQA,2,0.04,0.5
0.1736,100,14,63,31,1.9459101490553132,0,0,0,0,0,NA,402,MvJRQA,j,0.04,0.5
0.1608,100,14,53,28.714285714285715,1.9459101490553132,0,0,0,0,0,0.09,402,MdRQA,f,0.04,NA
0.1608,100,14,53,28.714285714285715,1.9459101490553132,0,NA,NA,NA,NA,0.09,402,MdRQA_crqa,f,0.04,NA
