RR,DET,DNRLINES,MDL,ADL,DENTR,LAM,AVL,MVL,VNRLINES,VENTR,radius,sample_id,system,coupling,RR_target
9.98,99.99198396793587,446,499,55.937219730941706,4.1941330138611885,99.99198396793587,23.207441860465117,73,1075,3.6832070216855834,3.6248705504473726,8084,1,1,10
9.9792,99.99198332531665,158,499,157.8860759493671,4.039093165207955,99.98396665063332,17.65322009907997,33,1413,2.604760677861303,0.5974974293528527,8084,2,1,10
5.1944,100,90,499,144.2888888888889,3.6834363243374404,99.9845987987063,13.036144578313253,28,996,2.104139490246913,NA,8084,j,1,10
0.9976,99.91980753809142,46,385,54.17391304347826,3.1354942159291497,89.25421010425019,3.435185185185185,16,648,1.249804618271872,0.4239665248712798,8085,1,1.05,1
0.9976,99.91980753809142,28,499,89,2.6390573296152584,92.70248596631917,2.633257403189066,6,878,0.8954411608271109,0.10073565593897965,8085,2,1.05,1
0.6504,99.7539975399754,22,385,73.72727272727273,2.3978952727983707,74.53874538745387,2.414342629482072,5,502,0.628684885215683,NA,8085,j,1.05,1
1.9959999999999998,99.95991983967936,88,499,56.68181818181818,3.658162873816453,98.11623246492987,5.415929203539823,30,904,2.0446751947945896,0.7909016479140315,8086,1,1.05,2
1.9976,100,50,499,99.88,3.0525205015338135,99.9199038846616,4.09688013136289,10,1218,1.3195320368160812,0.1657097270807831,8086,2,1.05,2
1.2568,100,28,499,112.21428571428571,2.6390573296152584,97.00827498408657,3.3716814159292037,8,904,0.9476750440907524,NA,8086,j,1.05,2
4.9896,100,184,499,67.79347826086956,4.193976861059401,99.98396665063332,12.522088353413654,54,996,3.003403965481141,1.9738240631269794,8087,1,1.05,5
4.992,100,94,499,132.7659574468085,3.691536538957633,99.88782051282051,9.337827715355806,20,1335,2.1654392966537728,0.3466098874929214,8087,2,1.05,5
2.9072,100,56,499,129.78571428571428,3.183672971483787,99.9724821133737,7.295180722891566,17,996,1.6333771895290115,NA,8087,j,1.05,5
9.98,99.99198396793587,446,499,55.937219730941706,4.195337832850285,99.99198396793587,23.207441860465117,73,1075,3.6813832038433585,3.625382870896123,8088,1,1.05,10
9.9784,100,160,499,155.9125,4.028912442596852,99.98396536518881,17.664305949008497,33,1412,2.665519628271232,0.5973369195339268,8088,2,1.05,10
5.2176,99.98466727997547,94,499,138.74468085106383,3.6731738534819875,99.98466727997547,13.094377510040161,29,996,2.146044142933011,NA,8088,j,1.05,10
0.9976,100,46,385,54.21739130434783,3.1354942159291497,89.89574979951884,3.3765060240963853,16,664,1.214909534320351,0.42438456551015935,8089,1,1.1,1
0.9976,100,30,499,83.13333333333334,2.6156305770275505,92.46190858059342,2.6628175519630486,6,866,0.9478021575936194,0.10097878244323258,8089,2,1.1,1
0.6616000000000001,100,24,385,68.91666666666667,2.4849066497880004,75.69528415961307,2.4357976653696496,5,514,0.7026347584117225,NA,8089,j,1.1,1
1.9959999999999998,99.95991983967936,88,499,56.68181818181818,3.6462708705490767,98.11623246492987,5.415929203539823,30,904,2.0422814108118823,0.7922348931523608,8090,1,1.1,2
1.9968,100,46,499,108.52173913043478,3.075220548054372,99.9198717948718,4.1019736842105265,10,1216,1.2495172344620433,0.16886904941530054,8090,2,1.1,2
1.2744,100,26,499,122.53846153846153,2.564949357461537,97.0495919648462,3.420353982300885,8,904,0.9731738081749223,NA,8090,j,1.1,2
4.9896,99.98396665063332,184,499,67.78260869565217,4.193976861059401,99.98396665063332,12.522088353413654,54,996,3.006457395194962,1.9778587248057022,8091,1,1.1,5
