coupling,index_simu,rqa_RR1,rqa_RR2,rqa_RR12,jrqa_RR,jrqa_DET,jrqa_DENTR,mdrqa_RR,mdrqa_DET,mdrqa_DENTR
2.5,523,19.96,19.9592,19.959600000000002,8.5576,15.424885481910817,0.34556449651028054,7.247199999999999,12.716635390219672,0.33884265992445106
2.5,524,19.9608,19.9584,19.959600000000002,8.2312,14.636990961220722,0.27625997616953074,7.9112,14.217817777328346,0.29236408765380145
2.5,525,19.9592,19.9608,19.96,8.172799999999999,16.004306969459673,0.2774031153616514,6.992800000000001,12.881821301910538,0.17987669611255136
2.5,526,19.96,19.96,19.96,7.9912,15.36690359395335,0.3748823014953967,6.8824,12.855980471928397,0.28135405179979706
2.5,527,19.964000000000002,19.9592,19.9616,8.1568,14.260494311494703,0.27625852430085257,7.1992,12.879208800977887,0.22633076533243915
2.5,528,19.9632,19.9608,19.962,8.064,14.702380952380953,0.3593960332094883,7.0784,12.25135623869801,0.24311234136925466
2.5,529,19.9592,19.9592,19.9592,8.448799999999999,16.23899251964776,0.3387734305862822,7.8112,15.37279803359279,0.3447253649172907
2.5,530,19.9608,19.961599999999997,19.961199999999998,8.5224,17.178259645170375,0.34185983372302986,7.570399999999999,14.826165063933214,0.29572507334720144
2.5,531,19.9592,19.9584,19.9588,7.993599999999999,15.772618094475579,0.30324053107114923,7.005599999999999,13.908872901678656,0.2609298848214481
2.5,532,19.96,19.9568,19.9584,8.2896,15.701602007334492,0.33882133736362546,7.9,15.027848101265823,0.31004111210357405
2.5,533,19.9584,19.96,19.959200000000003,7.8911999999999995,15.186536901865368,0.26636252746551314,6.9592,12.62214047591677,0.2719583454482955
2.5,534,19.96,19.9608,19.9604,8.203199999999999,15.54515311098108,0.27301269821752877,7.3296,13.817943680419123,0.28058721369548867
2.5,535,19.9592,19.9584,19.9588,7.8968,15.287204943774693,0.32423332419575823,6.764,13.601419278533411,0.28362867248827517
2.5,536,19.96,19.96,19.96,8.3208,16.017690606672435,0.33637701424125016,8.0136,15.623440151742038,0.3824828809357003
2.5,537,19.961599999999997,19.961599999999997,19.961599999999997,8.0448,15.632458233890215,0.28993079092471535,6.7944,12.692805840103617,0.2850166535960376
2.5,538,19.9592,19.9592,19.9592,8.0336,15.156343357896834,0.25935888829009873,7.0648,12.750537877930018,0.2781822851839394
2.5,539,19.9632,19.9592,19.961199999999998,7.976,15.546639919759278,0.27151155911462604,7.3424000000000005,14.000871649596863,0.307454070619014
2.5,540,19.9592,19.9608,19.96,8.089599999999999,16.594145569620252,0.3020749792922052,7.162399999999999,14.41974757064671,0.24865534689751684
2.5,541,19.96,19.96,19.96,7.9112,14.935787238345636,0.29224326426829395,6.918399999999999,14.095744680851062,0.2833075926467102
2.5,542,19.9608,19.9624,19.961599999999997,8.4368,16.32846576901195,0.3093061659577453,8.0232,15.69448599062718,0.31066936205458634
2.5,543,19.96,19.9592,19.959600000000002,7.76,14.216494845360824,0.2755810786844157,6.548800000000001,11.971658929880283,0.3085259622284876
