RR,DET,DNRLINES,MDL,ADL,DENTR,LAM,AVL,MVL,VNRLINES,VENTR,radius,sample_id,system,coupling,RR_target
4.96,9.67741935483871,24,2,2,-0,4.435483870967742,2,2,11,-0,0.09658321666884032,27,1,0,5
4.9399999999999995,8.906882591093117,22,2,2,-0,17.20647773279352,2.1794871794871793,3,39,0.47061498118148126,0.437495972037261,27,2,0,5
0.32,0,0,0,0,0,0,0,0,0,0,NA,27,j,0,5
9.9,18.181818181818183,88,3,2.0454545454545454,0.18490739916777568,15.353535353535353,2.026666666666667,3,75,0.1229569993369445,0.19059841870874022,28,1,0,10
9.9,16.161616161616163,78,3,2.051282051282051,0.20227300179743635,24.848484848484848,2.2162162162162162,4,111,0.5472907990784142,0.6166652549539577,28,2,0,10
1.2,3.3333333333333335,2,2,2,-0,1.6666666666666667,2,2,1,-0,NA,28,j,0,10
1,0,0,0,0,0,2,2,2,1,-0,0.024652094799071086,29,1,0,1
0.98,8.16326530612245,4,2,2,-0,2.0408163265306123,2,2,1,-0,0.1786345335447277,29,2,0,1
0.02,0,0,0,0,0,0,0,0,0,0,NA,29,j,0,1
1.9800000000000002,0,0,0,0,0,3.0303030303030303,2,2,3,-0,0.04457338223385403,30,1,0,2
1.9800000000000002,6.0606060606060606,6,2,2,-0,2.0202020202020203,2,2,2,-0,0.2645597477564341,30,2,0,2
0.06,0,0,0,0,0,0,0,0,0,0,NA,30,j,0,2
4.9399999999999995,5.263157894736842,12,3,2.1666666666666665,0.45056120886630463,9.31174089068826,2,2,23,-0,0.10348496042715057,31,1,0,5
4.9399999999999995,11.336032388663968,26,3,2.1538461538461537,0.4293230219306162,6.882591093117409,2,2,17,-0,0.43715549011078203,31,2,0,5
0.27999999999999997,0,0,0,0,0,0,0,0,0,0,NA,31,j,0,5
9.9,18.585858585858585,82,4,2.2439024390243905,0.6032891226827939,19.7979797979798,2.1538461538461537,4,91,0.4202428495023948,0.19479506585785,32,1,0,10
9.9,18.383838383838384,86,3,2.116279069767442,0.3594451475127912,13.83838383838384,2.0757575757575757,4,66,0.26271279143854664,0.65005130119429555,32,2,0,10
0.98,0,0,0,0,0,4.081632653061225,2,2,2,-0,NA,32,j,0,10
0.98,12.244897959183673,6,2,2,-0,2.0408163265306123,2,2,1,-0,0.020760311880755257,33,1,0,1
0.98,0,0,0,0,0,6.122448979591836,2,2,3,-0,0.18022364428840298,33,2,0,1
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,33,j,0,1
1.9800000000000002,6.0606060606060606,6,2,2,-0,7.575757575757576,2.142857142857143,3,7,0.410116318288409,0.03918416706193773,34,1,0,2
1.9800000000000002,2.0202020202020203,2,2,2,-0,3.0303030303030303,2,2,3,-0,0.25476293137685124,34,2,0,2
0.02,0,0,0,0,0,0,0,0,0,0,NA,34,j,0,2
4.9399999999999995,12.550607287449392,30,3,2.066666666666667,0.24493002679463532,15.182186234817813,2.0833333333333335,3,36,0.2868359830561607,0.09252202332089993,35,1,0,5
4.9399999999999995,5.263157894736842,12,3,2.1666666666666665,0.45056120886630463,8.704453441295547,2.0476190476190474,3,21,0.19144408195771734,0.43139453380200615,35,2,0,5
0.16,0,0,0,0,0,0,0,0,0,0,NA,35,j,0,5
9.9,18.787878787878785,90,3,2.066666666666667,0.24493002679463532,28.98989898989899,2.110294117647059,3,136,0.3471298193115019,0.16918948895154204,36,1,0,10
9.9,12.121212121212121,56,3,2.142857142857143,0.410116318288409,21.91919191919192,2.0865384615384617,4,104,0.30017169313849307,0.6292008701206022,36,2,0,10
0.9199999999999999,0,0,0,0,0,8.695652173913043,2,2,4,-0,NA,36,j,0,10
1,0,0,0,0,0,0,0,0,0,0,0.01462449226209988,37,1,0,1
1,0,0,0,0,0,2,2,2,1,-0,0.1941218735032177,37,2,0,1
0.02,0,0,0,0,0,0,0,0,0,0,NA,37,j,0,1
1.9800000000000002,4.040404040404041,4,2,2,-0,1.0101010101010102,2,2,1,-0,0.030799615795271344,38,1,0,2
1.9800000000000002,0,0,0,0,0,6.0606060606060606,2,2,6,-0,0.2545730384037877,38,2,0,2
0.08,0,0,0,0,0,0,0,0,0,0,NA,38,j,0,2
4.9399999999999995,10.526315789473683,26,2,2,-0,8.906882591093117,2.0952380952380953,3,21,0.31449220128141064,0.07887037186240332,39,1,0,5
4.9399999999999995,8.502024291497975,20,3,2.1,0.3250829733914482,11.538461538461538,2.0357142857142856,3,28,0.15407610367102942,0.38766078822063105,39,2,0,5
0.4,0,0,0,0,0,0,0,0,0,0,NA,39,j,0,5
9.9,15.151515151515152,74,3,2.027027027027027,0.12425083738963087,25.151515151515152,2.110169491525424,3,118,0.3468695531644789,0.1584184438175716,40,1,0,10
9.9,19.7979797979798,96,3,2.0416666666666665,0.1732052067491771,21.01010101010101,2.101010101010101,3,99,0.32729674067902526,0.5679269457421846,40,2,0,10
1.18,3.389830508474576,2,2,2,-0,0,0,0,0,0,NA,40,j,0,10
0.98,0,0,0,0,0,0,0,0,0,0,0.014536724350251067,41,1,0,1
0.98,0,0,0,0,0,2.0408163265306123,2,2,1,-0,0.19336125509279362,41,2,0,1
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,41,j,0,1
1.9800000000000002,2.0202020202020203,2,2,2,-0,1.0101010101010102,2,2,1,-0,0.0283229003512293,42,1,0,2
1.9800000000000002,2.0202020202020203,2,2,2,-0,4.040404040404041,2,2,4,-0,0.2632051322449328,42,2,0,2
0.02,0,0,0,0,0,0,0,0,0,0,NA,42,j,0,2
4.9399999999999995,4.8582995951417,12,2,2,-0,17.00404858299595,2.048780487804878,3,41,0.19490868718781756,0.0799921689884958,43,1,0,5
4.9399999999999995,9.7165991902834,24,2,2,-0,14.37246963562753,2.0285714285714285,3,35,0.12974069471942834,0.4213274929876857,43,2,0,5
0.26,0,0,0,0,0,0,0,0,0,0,NA,43,j,0,5
9.9,16.969696969696972,82,3,2.048780487804878,0.19490868718781756,26.86868686868687,2.293103448275862,3,116,0.6049071211700006,0.18346628323641018,44,1,0,10
9.9,17.575757575757574,82,4,2.1219512195121952,0.3083386903452212,23.737373737373737,2.0982142857142856,3,112,0.32114154806519024,0.6053768155561442,44,2,0,10
0.8200000000000001,0,0,0,0,0,0,0,0,0,0,NA,44,j,0,10
0.98,0,0,0,0,0,2.0408163265306123,2,2,1,-0,0.020297091521986686,45,1,0,1
0.98,0,0,0,0,0,6.122448979591836,2,2,3,-0,0.1675433905919643,45,2,0,1
0.02,0,0,0,0,0,0,0,0,0,0,NA,45,j,0,1
1.9800000000000002,4.040404040404041,4,2,2,-0,4.040404040404041,2,2,4,-0,0.03369773447604383,46,1,0,2
1.9800000000000002,0,0,0,0,0,7.07070707070707,2,2,7,-0,0.24937948308253427,46,2,0,2
0.08,0,0,0,0,0,0,0,0,0,0,NA,46,j,0,2
4.9399999999999995,6.882591093117409,16,3,2.125,0.37677016125643675,10.323886639676113,2.04,3,25,0.167944147734173,0.09056956393262382,47,1,0,5
4.9399999999999995,4.8582995951417,12,2,2,-0,11.740890688259109,2.0714285714285716,3,28,0.25731864054383163,0.4185045650099562,47,2,0,5
0.38,0,0,0,0,0,0,0,0,0,0,NA,47,j,0,5
9.9,16.565656565656568,76,4,2.1578947368421053,0.45521966044024337,20.505050505050505,2.0927835051546393,4,97,0.3023774295032359,0.18191211903481164,48,1,0,10
9.9,19.19191919191919,90,4,2.111111111111111,0.349944898639632,24.141414141414142,2.0782608695652174,3,115,0.2745011268684232,0.6051597108627164,48,2,0,10
1.22,3.278688524590164,2,2,2,-0,1.639344262295082,2,2,1,-0,NA,48,j,0,10
0.98,4.081632653061225,2,2,2,-0,4.081632653061225,2,2,2,-0,0.016573852159374663,49,1,0,1
1,4,2,2,2,-0,6,2,2,3,-0,0.20816605179962014,49,2,0,1
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,49,j,0,1
1.9800000000000002,6.0606060606060606,6,2,2,-0,5.05050505050505,2,2,5,-0,0.03500782966012328,50,1,0,2
